sample_id,X1_SoftSeg,X2_DA_Content,X3_HardSeg,X4_R_Ratio,X5_Crosslink,Iso_Type,Hard_Symmetry,Polyol_Type,Polyol_Mw_Score,Soft_Cryst,Interact_Cryst_Content,Synergy_Feature,Soft_Mw,Constraint_Factor,DA_KA,DA_KC,Has_Non_DA_Extender,cross_class,tensile_strength,elongation,healing_eff
DAG-PU-1,0.6651,0.0,0.3349,1.3333,0.0,2.0,0.0,0.0,0.0,1.0,0.6651,0.0,1000.0,0.0003,0.0,0.0,1.0,1.0,19.5,1039.7,0.9
DAG-PU-2,0.6353,0.0,0.3647,1.3846,0.0,2.0,0.0,0.0,0.0,1.0,0.6353,0.0,1000.0,0.0004,0.0,0.0,1.0,1.0,28.6,717.3,0.9
DAG-PU-3,0.6082,0.0,0.3918,1.4286,0.0,2.0,0.0,0.0,0.0,1.0,0.6082,0.0,1000.0,0.0004,0.0,0.0,1.0,1.0,45.0,567.3,0.91
BQDU-CPU,0.5592,0.0,0.4408,1.0,0.0002,2.0,0.0,0.0,0.0,1.0,0.5592,0.0,1000.0,0.0004,0.0,0.0,0.0,1.0,22.9,1033.1,0.435
5%Cu-BQDU-CPU,0.5389,0.0,0.4611,0.8418,0.0002,2.0,0.0,0.0,0.0,1.0,0.5389,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,40.6,1584.6,0.839
DAG-LPU-3,0.7487,0.0,0.2513,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.7487,0.0,1000.0,0.0003,0.0,0.0,1.0,1.0,15.7,738.7,0.89
DAG-LPU-2,0.701,0.0,0.299,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.701,0.0,1000.0,0.0003,0.0,0.0,1.0,1.0,26.3,701.5,0.99
DAG-LPU-1,0.6399,0.0,0.3601,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.6399,0.0,1000.0,0.0004,0.0,0.0,1.0,1.0,40.3,531.9,0.87
SPU1,0.488,0.08,0.512,0.9677,0.0,2.0,0.0,0.0,0.0,1.0,0.488,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,24.3,1109.3,87.6
SPU2,0.4796,0.0958,0.5204,0.9375,0.0,2.0,0.0,0.0,0.0,1.0,0.4796,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,28.1,812.8,
SPU3,0.4715,0.1111,0.5285,0.9091,0.0,2.0,0.0,0.0,0.0,1.0,0.4715,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,34.1,6.31,
SPU4,0.4637,0.1259,0.5363,0.8824,0.0,2.0,0.0,0.0,0.0,1.0,0.4637,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,38.1,628.7,
SPU5,0.4561,0.1402,0.5439,0.8571,0.0,2.0,0.0,0.0,0.0,1.0,0.4561,0.0,1000.0,0.0005,0.0,0.0,0.0,1.0,39.2,560.1,
DA-DPU-PCL2000,0.6117,0.1488,0.3883,0.75,0.0,2.0,0.0,1.0,0.5,1.0,0.6117,0.0,2000.0,0.0002,0.0,0.0,0.0,1.0,15.0,1000.0,
TCPUA-O,0.5847,0.1048,0.4153,0.5926,0.0001,2.5,1.0,1.0,0.0,1.0,0.5847,0.5847,1000.0,0.0004,0.0,1.0,0.0,1.0,19.0,664.36,
TCPUA-A,0.5912,0.1059,0.4088,0.6,0.0002,2.5,1.0,1.0,0.0,1.0,0.5912,0.5912,1000.0,0.0004,0.0,1.0,0.0,1.0,20.01,489.6,
TCPUA-B,0.4836,0.1733,0.5164,0.5,0.0,2.5,1.0,1.0,0.0,1.0,0.4836,0.4836,1000.0,0.0005,0.0,1.0,0.0,1.0,38.77,355.31,
TCPUA-B-20%,0.387,0.1387,0.613,0.321,0.0,2.5,1.0,1.0,0.0,1.0,0.387,0.387,1000.0,0.0006,0.0,1.0,0.0,0.0,33.75,436.44,
TCPUA-C,0.4776,0.1711,0.5224,0.5,0.0001,2.5,1.0,1.0,0.0,1.0,0.4776,0.4776,1000.0,0.0005,0.0,1.0,0.0,1.0,17.67,264.34,
TCPUA-E,0.4048,0.2176,0.5952,0.4545,0.0,2.5,1.0,1.0,0.0,1.0,0.4048,0.4048,1000.0,0.0006,0.0,1.0,0.0,1.0,25.46,142.45,
TCPUA-E-5%,0.3846,0.2067,0.6154,0.4125,0.0,2.5,1.0,1.0,0.0,1.0,0.3846,0.3846,1000.0,0.0006,0.0,1.0,0.0,1.0,35.32,213.99,
TCPUA-E-10%,0.3642,0.1958,0.6358,0.3737,0.0,2.5,1.0,1.0,0.0,1.0,0.3642,0.3642,1000.0,0.0006,0.0,1.0,0.0,1.0,30.62,181.63,
TCPUA-E-15%,0.3442,0.185,0.6558,0.3388,0.0,2.5,1.0,1.0,0.0,1.0,0.3442,0.3442,1000.0,0.0007,0.0,1.0,0.0,0.0,30.89,142.78,
TCPUA-E-20%,0.3238,0.174,0.6762,0.306,0.0,2.5,1.0,1.0,0.0,1.0,0.3238,0.3238,1000.0,0.0007,0.0,1.0,0.0,1.0,28.04,132.68,
DA-PU,0.7203,0.0645,0.2797,0.8,0.0,4.0,1.0,0.0,0.5,1.0,0.7203,0.7203,2000.0,0.0001,1.0,0.0,0.0,1.0,33.7,500.0,
DA-PU-PTMG1000,0.5336,0.0956,0.4664,0.5714,0.0,4.0,1.0,0.0,0.0,1.0,0.5336,0.5336,1000.0,0.0005,1.0,0.0,0.0,0.0,25.1,565.0,0.85
DA-PU-PTMG-1400,0.6157,0.0788,0.3843,0.5714,0.0,4.0,1.0,0.0,0.2,1.0,0.6157,0.6157,1400.0,0.0003,1.0,0.0,0.0,0.0,22.3,641.0,0.7
DA-PU-PTMG-2000,0.6959,0.0623,0.3041,0.5714,0.0,4.0,1.0,0.0,0.5,1.0,0.6959,0.6959,2000.0,0.0002,1.0,0.0,0.0,0.0,13.3,775.0,0.64
TDI-PUR-DA1,0.6894,0.1235,0.3106,0.5,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,5.28,339.0,0.62
TDI-PUR-DA2,0.7114,0.0956,0.2886,0.5333,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,3.65,345.0,0.58
TDI-PUR-DA3,0.7348,0.0658,0.2652,0.5714,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,1.96,352.0,0.54
TDI-PUR-DA4,0.7598,0.034,0.2402,0.6154,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,0.91,358.0,0.53
IPDI-PUA-DA1,0.6673,0.1196,0.3327,0.5,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,4.68,392.0,0.71
IPDI-PUA-DA2,0.6879,0.0924,0.3121,0.5333,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,3.23,405.0,0.67
IPDI-PUA-DA3,0.7097,0.0636,0.2903,0.5714,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,1.84,412.0,0.63
IPDI-PUA-DA4,0.733,0.0328,0.267,0.6154,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,0.88,421.0,0.61
DA-SM-PU-0,0.7573,0.0,0.2427,0.6667,0.0,2.0,0.0,1.0,0.5,1.0,0.7573,0.0,2000.0,0.0001,0.0,1.0,0.0,0.0,15.0,680.0,0.043
DA-SM-PU-1,0.7275,0.0,0.2725,0.6098,0.0,2.0,0.0,1.0,0.5,1.0,0.7275,0.0,2000.0,0.0001,0.0,1.0,0.0,1.0,17.5,905.0,0.714
DA-SM-PU-2,0.6825,0.0,0.3175,0.5333,0.0,2.0,0.0,1.0,0.5,1.0,0.6825,0.0,2000.0,0.0002,0.0,1.0,0.0,1.0,20.2,1120.0,0.748
DA-SM-PU-3,0.6607,0.0,0.3393,0.5,0.0,2.0,0.0,1.0,0.5,1.0,0.6607,0.0,2000.0,0.0002,0.0,1.0,0.0,1.0,25.1,1364.0,0.991
MPA,0.5113,0.0916,0.4887,0.75,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0005,0.0,1.0,0.0,0.0,9.65,457.52,0.7357
HTK-PU（凝胶，没有软段）,0.0,0.1294,1.0,0.0,0.0,,,,,0.0,0.0,,,,0.0,1.0,0.0,1.0,9.34,1.13,0.6756
ITB-PU,0.3685,0.3961,0.6315,0.3333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0006,1.0,0.0,0.0,1.0,13.21,25.27,0.8002
PU-BDO,0.6287,0.0,0.3713,1.0,0.0,4.0,1.0,1.0,0.0,1.0,0.6287,0.6287,1000.0,0.0004,0.0,0.0,1.0,0.0,12.0,533.0,
PU-BDO-2,0.5113,0.1832,0.4887,0.6667,0.0,4.0,1.0,1.0,0.0,1.0,0.5113,0.5113,1000.0,0.0005,1.0,0.0,0.0,0.0,25.0,440.0,0.8
FPU,0.6568,0.0,0.3432,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.6568,0.0,1000.0,0.0003,1.0,0.0,0.0,0.0,12.3,546.0,
DA-PU-TDI-FDO-0.25,0.6203,0.0556,0.3797,0.8889,0.0,3.0,0.0,0.0,0.0,1.0,0.6203,0.0,1000.0,0.0004,1.0,0.0,0.0,1.0,12.7,412.0,0.94
DA-PU-TDI-FDO-0.5,0.5876,0.1053,0.4124,0.8,0.0,3.0,0.0,0.0,0.0,1.0,0.5876,0.0,1000.0,0.0004,1.0,0.0,0.0,1.0,14.2,356.0,0.92
DA-PU-TDI-FDO-0.75,0.5583,0.15,0.4417,0.7273,0.0,3.0,0.0,0.0,0.0,1.0,0.5583,0.0,1000.0,0.0004,1.0,0.0,0.0,1.0,14.8,254.0,0.92
DA-PU-TDI-FDO-1,0.5317,0.1905,0.4683,0.6667,0.0,3.0,0.0,0.0,0.0,1.0,0.5317,0.0,1000.0,0.0005,1.0,0.0,0.0,1.0,15.6,162.0,0.9
FAm-DA-PU,0.6519,0.0865,0.3481,0.8,0.0,2.0,0.0,0.0,0.25,0.0,0.0,0.0,1662.963,0.0002,1.0,0.0,0.0,1.0,8.56,310.0,0.816
L-DAPU-1,0.579,0.1297,0.421,0.7059,0.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,3.68,820.0,0.76
L-DAPU-2,0.5875,0.1168,0.4125,0.7299,0.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,7.2,667.0,0.79
L-DAPU-3,0.5944,0.1065,0.4056,0.75,0.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,9.66,533.0,0.811
L-DAPU-4,0.588,0.1054,0.412,0.775,0.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,8.95,540.0,0.78
L-DAPU-5,0.5817,0.1042,0.4183,0.8,0.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,6.07,650.0,0.73
C-DAPU-1,0.5513,0.1794,0.4487,0.601,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1963.352,0.0002,1.0,0.0,0.0,1.0,8.86,780.0,
C-DAPU-2,0.5406,0.1955,0.4594,0.5769,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1963.352,0.0002,1.0,0.0,0.0,1.0,11.46,733.0,
C-DAPU-3,0.5302,0.2109,0.4698,0.5547,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1963.352,0.0002,1.0,0.0,0.0,1.0,9.32,820.0,
C-DAPU-4,0.5202,0.2258,0.4798,0.5342,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1963.352,0.0002,1.0,0.0,0.0,1.0,6.47,650.0,
C-DAPU-C%-1,0.5397,0.1948,0.4603,0.5825,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1972.3567,0.0002,1.0,0.0,0.0,1.0,12.98,600.0,
C-DAPU-C%-2,0.5406,0.1955,0.4594,0.5769,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1963.352,0.0002,1.0,0.0,0.0,1.0,13.64,567.0,
C-DAPU-C%-3,0.5414,0.1962,0.4586,0.5714,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1954.5859,0.0002,1.0,0.0,0.0,1.0,14.86,466.0,0.578
C-DAPU-C%-4,0.5422,0.1969,0.4578,0.566,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1945.8818,0.0002,1.0,0.0,0.0,1.0,16.62,280.0,
C-DAPU-C%-5,0.543,0.1976,0.457,0.5608,0.0,2.0,0.0,1.0,0.25,0.0,0.0,0.0,1937.3345,0.0002,1.0,0.0,0.0,1.0,17.12,200.0,
"PU-DA-FGE-FA+1,8-BMI",0.3873,0.2358,0.6127,0.4,0.0,2.0,0.0,0.0,0.0,1.0,0.3873,0.0,1000.0,0.0006,1.0,0.0,0.0,1.0,4.2,305.59,0.9476
DA-PU-BMImain_chain-0,0.5253,0.2,0.4747,0.767,0.0,2.5,1.0,0.0,0.5,1.0,0.5253,0.5253,2000.0,0.0002,0.0,1.0,0.0,0.0,48.9,853.0,
DA-PU-BMImain_chain-25,0.4987,0.1899,0.5013,0.869,0.0,2.5,1.0,0.0,0.5,1.0,0.4987,0.4987,2000.0,0.0003,0.0,1.0,0.0,0.0,49.1,612.0,
DA-PU-BMImain_chain-50,0.4747,0.1808,0.5253,0.971,0.0,2.5,1.0,0.0,0.5,1.0,0.4747,0.4747,2000.0,0.0003,0.0,1.0,0.0,0.0,42.0,448.0,
DA-PU-BMImain_chain-75,0.453,0.1725,0.547,1.073,0.0,2.5,1.0,0.0,0.5,1.0,0.453,0.453,2000.0,0.0003,0.0,1.0,0.0,0.0,40.0,339.0,
DA-PU-BMImain_chain-100,0.433,0.1649,0.567,1.1752,0.0,2.5,1.0,0.0,0.5,1.0,0.433,0.433,2000.0,0.0003,0.0,1.0,0.0,0.0,50.3,304.0,60.0
PU-BDO-UP,0.5254,0.0,0.4746,0.4428,0.0,4.0,1.0,0.0,0.5,1.0,0.5254,0.5254,2000.0,0.0002,0.0,0.0,1.0,0.0,49.9,998.0,
PU-BDO-A,0.772,0.0,0.228,1.0,0.0,4.0,1.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,0.0,0.0,1.0,0.0,0.63,248.0,0.53
PU-DA-PPG-R1.5,0.7169,0.0963,0.2831,0.4615,0.0,4.0,1.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0001,1.0,0.0,0.0,0.0,2.4,510.0,0.742
PU-DA-PPG-R2.0,0.6551,0.1174,0.3449,0.5,0.0,4.0,1.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,6.55,444.0,0.798
PU-DA-PPG-R2.5,0.6031,0.1351,0.3969,0.5263,0.0,4.0,1.0,0.0,0.5,0.0,0.0,0.0,2000.0,0.0002,1.0,0.0,0.0,0.0,10.09,247.0,0.351
PU-DA-PPG-R2.0-hard1,0.4871,0.1745,0.5129,0.5,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0005,1.0,0.0,0.0,0.0,8.5,7.0,0.439
PU-DA-PPG-R2.0-hard2,0.5875,0.1404,0.4125,0.5,0.0,4.0,1.0,0.0,0.25,0.0,0.0,0.0,1500.0,0.0003,1.0,0.0,0.0,0.0,7.57,133.0,0.55
PU-DA-PPG-R2.0-SiO2纳米1,0.5874,0.1403,0.4126,0.4975,0.0,4.0,1.0,0.0,0.25,0.0,0.0,0.0,1500.0,0.0003,1.0,0.0,0.0,0.0,7.36,415.0,0.785
PU-DA-PPG-R2.0-SiO2纳米2,0.5872,0.1403,0.4128,0.495,0.0,4.0,1.0,0.0,0.25,0.0,0.0,0.0,1500.0,0.0003,1.0,0.0,0.0,0.0,8.55,369.0,0.7
PU-DA-PPG-R2.0-SiO2纳米3,0.5871,0.1403,0.4129,0.4926,0.0,4.0,1.0,0.0,0.25,0.0,0.0,0.0,1500.0,0.0003,1.0,0.0,0.0,0.0,2.92,198.0,0.305
PBA-PU-2(热熔胶，自愈合无用),0.5328,0.1909,0.4672,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.5328,0.5328,1000.0,0.0005,1.0,0.0,0.0,0.0,8.64,240.0,
PBA-PU-2.3(热熔胶，自愈合无用),0.4979,0.2052,0.5021,0.5169,0.0,1.0,1.0,1.0,0.0,1.0,0.4979,0.4979,1000.0,0.0005,1.0,0.0,0.0,0.0,9.02,193.0,
PBA-PU-2.5(热熔胶，自愈合无用),0.4771,0.2137,0.5229,0.5263,0.0,1.0,1.0,1.0,0.0,1.0,0.4771,0.4771,1000.0,0.0005,1.0,0.0,0.0,0.0,9.65,145.0,
PBA-PU-2.7(热熔胶，自愈合无用),0.4579,0.2215,0.5421,0.5347,0.0,1.0,1.0,1.0,0.0,1.0,0.4579,0.4579,1000.0,0.0005,1.0,0.0,0.0,0.0,5.05,151.0,
PBA-PU-3(热熔胶，自愈合无用),0.4319,0.2322,0.5681,0.5455,0.0,1.0,1.0,1.0,0.0,1.0,0.4319,0.4319,1000.0,0.0006,1.0,0.0,0.0,0.0,,,
PTMG-PU-2(热熔胶，自愈合无用),0.5328,0.1909,0.4672,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.5328,0.5328,1000.0,0.0005,1.0,0.0,0.0,0.0,1.19,403.0,
PTMG-PU-2.3(热熔胶，自愈合无用),0.4979,0.2052,0.5021,0.5169,0.0,1.0,1.0,0.0,0.0,1.0,0.4979,0.4979,1000.0,0.0005,1.0,0.0,0.0,0.0,3.28,293.0,
PTMG-PU-2.5(热熔胶，自愈合无用),0.4771,0.2137,0.5229,0.5263,0.0,1.0,1.0,0.0,0.0,1.0,0.4771,0.4771,1000.0,0.0005,1.0,0.0,0.0,0.0,5.06,190.0,
PTMG-PU-2.7(热熔胶，自愈合无用),0.4579,0.2215,0.5421,0.5347,0.0,1.0,1.0,0.0,0.0,1.0,0.4579,0.4579,1000.0,0.0005,1.0,0.0,0.0,0.0,7.59,96.0,
DCPU-WYP,0.7916,0.0709,0.2084,0.2857,0.0,4.0,1.0,0.0,0.0,1.0,0.7916,0.7916,1000.0,0.0002,1.0,0.0,0.0,1.0,53.91,720.0,0.924
LPU-WYP-2,0.852,0.0,0.148,0.3333,0.0,4.0,1.0,0.0,0.0,1.0,0.852,0.852,1000.0,0.0001,1.0,0.0,0.0,0.0,0.24,120.0,
